gene	GSM446731	GSM446732	GSM446733	GSM446734	GSM446735	GSM446736	GSM446737	GSM446738	GSM446739	GSM446740	GSM446741	GSM446742	GSM446743	GSM446744	GSM446745	GSM446746	GSM446747	GSM446748	GSM446749	GSM446750	GSM446751	GSM446752	GSM446753	GSM446754	GSM446755	GSM446756	GSM446757	GSM388115	GSM388116	GSM388117	GSM388118	GSM388119	GSM388120	GSM388121	GSM388122	GSM388123	GSM388124	GSM388125	GSM388126	GSM388127	GSM388128	GSM388129	GSM388130	GSM388131	GSM388132	GSM388133	GSM388134	GSM388135	GSM388136	GSM388137	GSM388138	GSM388139	GSM388140	GSM388141	GSM388142	GSM388143	GSM388144	GSM388145	GSM388146	GSM388147	GSM388148	GSM388149	GSM388150	GSM388151	GSM388152	GSM388153
ZYX	6.250231935	6.481771036	6.475131152	5.91243307	6.571643112	6.104622642	6.400875786	5.651702434	7.073910715	6.429133679	7.163295047	6.319288837	6.502025028	6.460044908	6.085233252	6.309836196	5.765323456	5.846791718	6.348400249	6.436371371	6.247675347	5.823124606	6.456282872	6.399211702	6.565640219	6.049389386	6.641642689	6.502111904	6.410379747	6.20203136	6.238896069	6.072692063	6.170292215	7.099196842	6.834407006	6.49561705	6.412801125	6.571953804	6.165632312	6.362602789	6.275739612	6.655668965	6.341252478	6.242214667	6.128442867	6.16380515	5.779733868	6.122700799	7.084735557	6.940438599	6.209938397	6.243991966	5.54005397	6.673954888	6.359511077	6.283385149	7.042829623	5.548815672	6.443502558	5.90343539	5.68494654	6.948315614	6.452663811	6.386300519	6.475312514	5.879924718
ZWINT	9.06745033	6.382130978	8.707312862	8.121747575	8.770590322	8.01907907	6.806821502	6.672956734	7.166626419	8.19230466	8.575165644	6.897689056	7.2396683	6.093353766	7.276316436	6.216474092	6.663154355	6.109878563	7.898467224	7.933157423	8.106677903	5.742180729	6.982438284	6.508945456	8.02653557	6.611641671	7.365415221	8.205732989	8.373554605	7.885964468	7.75150692	8.425251832	8.307185092	7.134890661	5.404359157	6.807174778	7.80903156	7.178787053	8.687748518	6.436235802	6.702997402	7.642652945	5.627775527	6.915756342	6.195393252	7.027550628	6.315070627	6.656941229	6.547600112	9.038432543	7.774918807	8.047318062	7.044732497	7.705255536	7.519980798	7.532478071	7.67954961	6.700457793	7.683607943	7.884654651	7.112959919	7.363605405	7.548830811	6.984520379	7.101759575	6.280229471
ZWILCH	5.445245456	4.813010689	5.614103685	5.831412329	5.122195545	5.346973517	5.004858288	5.073839165	5.069654795	5.159012045	5.839259368	5.100587557	5.221028284	5.187783472	5.486933031	5.29379516	5.715778419	4.737046775	5.348782687	5.980762611	5.797664664	5.152224161	5.507669149	4.76637803	5.150935975	5.289360203	5.732151362	5.370191637	5.692880867	5.536073485	5.507496196	5.831121708	5.758857537	5.064982807	4.855087937	4.785637529	5.515682539	5.293424814	5.824536737	5.039731771	4.795224359	5.698573269	5.257720039	5.228250301	4.530573889	5.327679681	4.930250382	5.020564567	5.465121665	6.390344961	6.186314173	5.813008042	5.325525616	5.373631578	5.577425498	5.467234342	5.014458338	4.676375577	5.121697268	5.546063552	4.746222314	5.387993053	5.165741766	5.23328497	5.593243128	5.107219107
ZSCAN2	4.913823597	5.115864737	4.9383584	4.662598194	4.477751483	4.90046719	4.888315757	5.03860736	5.182039628	4.741712803	4.791702563	5.357333029	5.210136782	4.924641004	5.39907045	5.445984571	5.056050985	4.819997182	5.066815485	5.361226367	4.860557078	5.002085155	4.75256863	4.632885626	4.579228506	5.052745369	4.92715967	4.800644217	4.974158431	4.933350419	4.938585043	4.683201848	4.88905093	5.120908199	4.673733946	5.356603559	4.555447043	4.920002975	4.9514779	5.227638864	5.05633897	5.033207094	4.761522009	4.700530269	5.182391386	4.571586804	5.331886394	4.878756028	5.017958819	4.990252843	5.287603095	4.533835363	5.368895544	4.832528463	4.810172733	4.885090275	4.851417738	5.115146979	4.596460698	4.835402692	5.502281484	5.033878178	4.776041673	4.959276915	5.215512744	5.50576487
ZSCAN16	4.935329315	6.444933084	5.256418312	6.130487606	5.754362882	5.624502768	5.840057031	5.459148822	7.022737354	5.222445547	6.285104431	5.42333004	5.374613984	5.603272992	5.377514531	5.606877014	5.186666743	5.285995011	4.868456802	4.643102268	5.175090671	5.205416849	5.591277586	5.527631706	5.182789081	6.2387067	5.782199626	5.38850197	5.551721788	6.091466414	6.040110181	5.428932956	5.398837456	6.143022478	4.224495807	4.800629578	5.893050683	5.32349704	5.629641622	5.538268557	4.334631259	5.951318177	5.624166029	5.669285746	5.181269283	5.885717448	5.103569358	5.401034237	5.396754793	5.620966428	5.940597995	6.042695694	5.43260427	5.508368739	5.787065494	5.891793535	5.894287954	4.88373754	5.587533211	5.679177445	5.793152099	5.440281271	5.486243917	5.655694607	6.281371449	5.37691933
ZNRF4	5.187379226	5.435200236	5.417223301	5.561043793	5.467158698	5.511755542	5.429176125	5.289589133	5.197380257	5.557956679	4.900408991	5.667631272	5.245879021	5.116524795	5.479640634	5.86881438	5.834819678	5.3081706	5.718873901	5.47781706	5.532241958	6.206089102	5.572854042	5.511520174	5.47781706	5.666529679	5.066304189	5.47821079	5.14592089	5.178113107	5.269560257	5.385625388	5.061516787	5.472149073	5.330200879	6.023871033	5.254626071	5.442372293	5.279513115	5.635388488	6.104000168	5.390690373	5.150571328	5.516724122	5.796116801	5.340208001	5.643256312	5.307863578	5.366468396	5.325352244	5.387146515	5.064017807	5.654353737	5.466181538	5.300271684	5.462035691	5.333657333	5.855786764	5.292405011	5.572072966	5.744658045	5.819119598	5.30768215	5.245845673	5.438968813	6.140643049
ZNF823	4.922048696	5.330006866	5.04554149	4.677713152	5.832087495	5.193692206	4.565642054	4.83905645	5.807313094	5.206940432	5.505445237	5.332004855	5.016455291	5.135113657	4.52394765	4.589362433	4.405323227	4.749056841	4.253157883	4.427410302	4.369369145	4.434984973	5.593571627	4.840770077	5.050906118	5.233108898	5.054364143	4.896508631	5.14221711	5.786836304	5.502754869	5.298674038	5.370002689	5.419721783	4.293471567	4.299102518	4.94863146	4.721159052	5.227917649	4.943854353	3.848601041	4.621222693	5.016342422	4.631619666	4.977134665	5.041131296	4.746775678	4.978176445	4.696471106	5.555233779	5.710556614	5.288387414	5.054585668	4.43400132	5.46209224	4.576763394	4.855186406	4.674148917	5.378767984	4.789715365	5.344875928	4.777104494	5.447059968	4.746312223	4.790437878	4.126497843
ZNF683	6.221483537	6.227688186	6.451206529	6.570342594	6.087511337	6.218318337	6.436998862	6.538651605	6.439574831	6.048630219	5.71879854	6.176569499	6.836235159	6.672065454	6.44686715	6.83682817	6.62165975	6.202294232	6.749709617	6.947555744	6.676359849	6.663408632	6.357577779	6.145206922	6.205083801	6.676767784	6.204576209	6.351541583	6.262389028	6.230944903	6.310472952	6.159826554	6.41091709	6.23459087	5.907527486	6.992421949	5.891846457	6.222372391	6.321475903	7.155248154	6.559881758	6.567892474	6.310329448	6.517604958	6.818591197	6.581077617	6.89013181	6.294507435	6.425973791	6.291939195	6.352569337	6.192712944	6.816431746	6.331148253	6.02149832	6.343479416	6.243151603	6.766568738	6.147342734	6.170558808	6.426180821	6.543964473	6.09698024	6.565840184	6.479653911	6.778762499
ZNF57	5.907020809	5.635660915	5.388641199	4.571945529	5.747502559	5.174487389	4.944978482	5.104394566	5.591683242	5.037670352	4.798292685	5.20549628	5.644970278	4.866669069	4.995562158	5.636651961	4.250343368	4.99652706	4.543510754	4.530234297	4.669151562	4.4950126	4.898102381	5.186964378	4.56689015	4.856873702	4.667104269	4.922816538	5.137274558	5.262682031	5.159739496	5.171652804	5.518396856	5.164361777	4.42537575	4.20330559	4.83149566	4.476143892	5.637959287	5.055656293	4.166355468	5.063110637	4.604171178	4.603708659	5.027660068	4.799228896	4.864933192	5.048847002	5.19524273	5.941788634	5.52352548	5.215344117	5.237038879	4.565529347	5.288302362	5.343001055	4.90305167	4.315286317	6.066249784	5.187062563	5.866281502	5.119995138	5.290325184	4.852942695	4.905562965	4.251561194
ZNF540	4.346579485	4.305164816	4.112703036	4.166356306	4.166356306	4.098673894	4.092543455	4.273237383	4.284059496	3.830256522	4.023938583	4.157395917	3.74843926	4.751007038	4.399807432	4.189675287	3.869153413	5.24652768	3.955693422	4.589041971	4.635426147	4.527705705	4.488452415	4.659758823	4.170516669	4.250731165	4.208790089	4.003899541	4.104635092	4.085607394	4.318385874	4.037053574	4.144725811	3.801491086	4.443973918	3.562418661	4.608224649	3.966405228	3.897031378	4.067092434	3.899151305	3.719689409	5.860345305	4.776721294	4.231877719	4.53922299	4.484307901	5.16823537	4.060032786	3.43989891	3.53317792	4.603335551	4.024125646	4.282604317	3.830649278	4.433224853	4.722075048	4.328939964	4.63862927	3.911805827	5.061930423	3.82641784	5.004429499	4.677052926	4.127577517	4.567237339
